ciphertext,difficulty
DMP NJQ TGJO KQ WUG VBJNG MI J NMIIKQ JQO DMP NJQ ATKWG KQ WUG VBJNG MI J WMMS VUGO HGJQW IMT HMAGTV JQO VBJOGV,medium
EY RH BAMYVKME YP QLKE YDDJVVHF RHPYVH OYJ QHVH RYVM BT EY VHWKBM KXQKOT K DLBXF,medium
ZEXZM ZEY RTHIVYB CFZE VNFOL NHD WXO OYAYT TYBYBIYT CEXZ NHDAY MXFS,medium
FKO RMSU OSKQO ZT TMIZYZOH MD VNESEVOUS ONET ZT ET MEON,hard
NDS LDCVTQAG GPVGD HO LGPJAEOP GDJA ZUBGUCA ZUBGUCA JZGOP JTT DJL GC LGUBY GC GDO WCLLUHUTUGUOL,easy
JKYPEHKRBY RHO PJO MEBYTLLRPO JRKHGHOYYOHY EI PJO WKPOHRHF NEHWG MEEKBX KB CTUWKM MRPPF KB CHKDRPO,medium
WSH YXPZ XL LQZZH HVGSMV CYY HVCH JCNZL XH LQZZH YZLLZI YXNZ LGSIT GP PEXZITL TZBCEHXIM PZZH CIT TZCHV XL WZCSHXPSY CL PZZH GP PEXZIT OGJXIM QXHV QZYOGJZ CH GSE DGSEIZRL ZIT,medium
MGNKN BP QAVQCP Q ABMMAN XJKN MJJMGDQPMN BL MGN MHEN MGBLY QEJHM BM,easy
RWS VSOBUS RC OSSE IFSDSU CTRSJ YSSGO AO TUCE KSBJN OC,medium
CKG CI HUG QFAYRGVH HURKMV HUPH APK UPXXGK HC BCF RK QRIG RV R HURKY HC UPTG P UPXXB AURQZUCCZ,medium
JSKPBPA WPYHWPU ZK WPWHYQZP ZSPHA RHOP ZK TKRHZHYU XLKJU ZSQZ PQALHLN GKLPI HULZ ZSP ZKT TAHKAHZI,medium
LJFPY DFI PJF YJVF DFI YAF DFI TI GAUD IPYVJF APO OVSSFFKFK YAFC PJF IUY FHYJPUJKTIPJC YAFC PJF TI YAF YJVF UJKFJ TY TO YAF UYAFJ ORFSTFO UZ DFI GAU PJF IUY GAPY YAFC UVLAY YU WF,easy
K MAKEV ST WKIAM XT IUKEI B XDKYIT MUU OBD,easy
DKWOGZ KW VBGDJHOAH QKASXJT RLLJKHO,medium
DQSNS UB BAOSDQUKH HAAG UK FXX BSSOUKH TFUXYNSB EAY FNS KAD DA BSS DQFD KAI DUOS IUXX NSMSFX UD RS CFDUSKD,easy
RFZO LR HNU NL N GNF KMZVMBML LAURFJZO GVJXAVZO QNF XM NQA QXMMUHEZZO RU CR NFOAXVFJ AXNA VL IRUAX CRVFJ,medium
VGNTU GNLYO LDDNLUNY TK BMSOVNUO LHZRN VGN HUTYXNO BNCNKV ULTMTKX LV TKVNURLMO MTWN VGN HNLYO ZQ L YLCLXNY UZOLUI,medium
YGXNAVG ENSF LNSJUOPYUNO NR LACYAXF POI JUNCNVQ NAX SUOIE PXF UOYAUYUZFCQ XFLFTYUZF YN XFCUVUNO,medium
B KRFM YJMKJMNJY GFIRMS KOGKY LV HBQJ B CFBKJ G YJMKJMNJ GMS KOJM B KRFM BK GFIRMS,medium
F IGRY OGTY PAAT NBTPOYQME FQ MIY CGEM F IGRY OGTY PAAT NBTPOYQME FQ MIY VBMBSY,easy
FG PSDXSOX LUBXP ZSKT LFDX FL FP LMX SOWZ NXQL LMUL YUOL QX TXRUFN,easy
ZHHX QFWB WEIW ZIYRFHPP XHHYQFM CBFM Q PWBBZ WEHYH NBFZHYQFM DHIYQFM ZBOTWQFM ZYHIKQFM ZYHIKP FB KBYWIC HUHY ZIYHZ WB ZYHIK THDBYH,medium
